V1;V2
pdl_29999.csv;15-nov-18
pdl_30000.csv;15-nov-18
pdl_30001.csv;15-nov-18
pdl_30002.csv;15-nov-18
pdl_30003.csv;15-nov-18
pdl_30004.csv;15-nov-18
pdl_30005.csv;15-nov-18
pdl_30006.csv;15-nov-18
pdl_30007.csv;15-nov-18
pdl_30008.csv;15-nov-18
pdl_30009.csv;15-nov-18
pdl_30010.csv;15-nov-18
pdl_30011.csv;15-nov-18
pdl_30012.csv;15-nov-18
pdl_30013.csv;15-nov-18
pdl_30014.csv;15-nov-18
pdl_30015.csv;15-nov-18
pdl_30016.csv;15-nov-18
pdl_30017.csv;15-nov-18
pdl_30018.csv;15-nov-18
pdl_30019.csv;15-nov-18
pdl_30020.csv;15-nov-18
pdl_30021.csv;15-nov-18
pdl_30022.csv;15-nov-18
pdl_30023.csv;15-nov-18
pdl_30024.csv;15-nov-18
pdl_30025.csv;15-nov-18
pdl_30026.csv;15-nov-18
pdl_30027.csv;15-nov-18
pdl_30028.csv;15-nov-18
pdl_30029.csv;15-nov-18
pdl_30030.csv;15-nov-18
pdl_30031.csv;15-nov-18
pdl_30032.csv;15-nov-18
pdl_30033.csv;15-nov-18
pdl_30034.csv;15-nov-18
pdl_30035.csv;15-nov-18
pdl_30036.csv;15-nov-18
pdl_30037.csv;15-nov-18
pdl_30038.csv;15-nov-18
pdl_30039.csv;15-nov-18
pdl_30040.csv;15-nov-18
pdl_30041.csv;15-nov-18
pdl_30042.csv;15-nov-18
pdl_30043.csv;15-nov-18
pdl_30044.csv;15-nov-18
pdl_30045.csv;15-nov-18
pdl_30046.csv;15-nov-18
pdl_30047.csv;15-nov-18
pdl_30048.csv;15-nov-18
pdl_30049.csv;15-nov-18
pdl_30050.csv;15-nov-18
pdl_30051.csv;15-nov-18
pdl_30052.csv;15-nov-18
pdl_30053.csv;15-nov-18
pdl_30054.csv;15-nov-18
pdl_30055.csv;15-nov-18
pdl_30056.csv;15-nov-18
pdl_30057.csv;15-nov-18
pdl_30058.csv;15-nov-18
pdl_30059.csv;15-nov-18
pdl_30060.csv;15-nov-18
pdl_30061.csv;15-nov-18
pdl_30062.csv;15-nov-18
pdl_30063.csv;15-nov-18
pdl_30064.csv;15-nov-18
pdl_30065.csv;15-nov-18
pdl_30066.csv;15-nov-18
pdl_30067.csv;15-nov-18
pdl_30068.csv;15-nov-18
pdl_30069.csv;15-nov-18
pdl_30070.csv;15-nov-18
pdl_30071.csv;15-nov-18
pdl_30072.csv;16-nov-18
pdl_30073.csv;16-nov-18
pdl_30074.csv;16-nov-18
pdl_30075.csv;16-nov-18
pdl_30076.csv;16-nov-18
pdl_30077.csv;16-nov-18
pdl_30078.csv;16-nov-18
pdl_30079.csv;16-nov-18
pdl_30080.csv;16-nov-18
pdl_30081.csv;16-nov-18
pdl_30082.csv;16-nov-18
pdl_30083.csv;16-nov-18
pdl_30084.csv;16-nov-18
pdl_30085.csv;16-nov-18
pdl_30086.csv;16-nov-18
pdl_30087.csv;16-nov-18
pdl_30088.csv;16-nov-18
pdl_30089.csv;16-nov-18
pdl_30090.csv;16-nov-18
pdl_30091.csv;16-nov-18
pdl_30092.csv;16-nov-18
pdl_30093.csv;16-nov-18
pdl_30094.csv;16-nov-18
pdl_30095.csv;16-nov-18
